,index,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,key,option_mapping,question,references,option_ordinal,survey
16,44,44,44,44,WHYNOTPOLF1J_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}",Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Women aren't encouraged to pursue leadership positions from an early age,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
17,45,45,45,45,WHYNOTPOLF1K_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}",Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Women don't do as good of a job selling their accomplishments,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
18,46,46,46,46,WHYNOTPOLF1L_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}",Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Sexual harassment creates an environment that makes it harder for women to succeed in politics,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
19,47,47,47,47,WHYNOTBIZF2A_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Many businesses are not ready to hire women for top executive positions","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
20,48,48,48,48,WHYNOTBIZF2B_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women in business face gender discrimination","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
21,50,50,50,50,WHYNOTBIZF2D_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women aren't tough enough for business","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
22,51,51,51,51,WHYNOTBIZF2F_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women don't make as good managers as men","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
23,52,52,52,52,WHYNOTBIZF2G_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women are held to higher standards than men","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
24,53,53,53,53,WHYNOTBIZF2H_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women have to more to prove themselves than men","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
25,55,55,55,55,WHYNOTBIZF2J_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women aren't encouraged to pursue leadership positions from an early age","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
26,58,58,58,58,WHYNOTBIZF2M_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women have fewer opportunities to interact with people in senior positions outside of work","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
27,59,59,59,59,WHYNOTBIZF2N_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women are less likely than men to ask for promotions and raises","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
28,60,60,60,60,WHYNOTBIZF2O_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Sexual harassment creates an environment that makes it harder for women to succeed in business","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
29,63,63,63,63,HIGHEDWRNGB_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}",Please indicate whether this is a reason why you think the higher education system in the U.S. is going in the wrong direction. Professors are bringing their political and social views into the classroom,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
30,64,64,64,64,HIGHEDWRNGC_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}",Please indicate whether this is a reason why you think the higher education system in the U.S. is going in the wrong direction. Colleges and universities are too concerned about protecting students from views they might find offensive,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
31,68,68,68,68,BETTERPOL1F1B_W36,"{1.0: 'Men are better', 2.0: 'Women are better', 3.0: 'No difference', 99.0: 'Refused'}","In general, do you think men or women in high political offices are better at being compassionate and empathetic?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
32,71,71,71,71,BETTERPOL1F1E_W36,"{1.0: 'Men are better', 2.0: 'Women are better', 3.0: 'No difference', 99.0: 'Refused'}","In general, do you think men or women in high political offices are better at being willing to take risks?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
33,75,75,75,75,BETTERPOL1F1I_W36,"{1.0: 'Men are better', 2.0: 'Women are better', 3.0: 'No difference', 99.0: 'Refused'}","In general, do you think men or women in high political offices are better at serving as a role model for children?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
34,76,76,76,76,BETTERPOL2F1A_W36,"{1.0: 'Men are better', 2.0: 'Women are better', 3.0: 'No difference', 99.0: 'Refused'}","And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at handling economic conditions?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
35,78,78,78,78,BETTERPOL2F1C_W36,"{1.0: 'Men are better', 2.0: 'Women are better', 3.0: 'No difference', 99.0: 'Refused'}","And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with immigration policy?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
36,79,79,79,79,BETTERPOL2F1D_W36,"{1.0: 'Men are better', 2.0: 'Women are better', 3.0: 'No difference', 99.0: 'Refused'}","And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with national security and defense?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
37,81,81,81,81,BETTERPOL2F1F_W36,"{1.0: 'Men are better', 2.0: 'Women are better', 3.0: 'No difference', 99.0: 'Refused'}","And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with gun policy?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
38,85,85,85,85,BETTERBIZ1F2D_W36,"{1.0: 'Men are better', 2.0: 'Women are better', 3.0: 'No difference', 99.0: 'Refused'}","In general, do you think men or women in top executive business positions are better at working well under pressure?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
39,86,86,86,86,BETTERBIZ1F2E_W36,"{1.0: 'Men are better', 2.0: 'Women are better', 3.0: 'No difference', 99.0: 'Refused'}","In general, do you think men or women in top executive business positions are better at being willing to take risks?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
40,89,89,89,89,BETTERBIZ1F2H_W36,"{1.0: 'Men are better', 2.0: 'Women are better', 3.0: 'No difference', 99.0: 'Refused'}","In general, do you think men or women in top executive business positions are better at negotiating profitable deals?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
41,96,96,96,96,BETTERBIZ2F2C_W36,"{1.0: 'Men would do a better job', 2.0: 'Women would do a better job', 3.0: 'No difference', 99.0: 'Refused'}","In general, do you think men or women would do a better job running a large bank or financial institution types of companies?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
42,98,98,98,98,BETTERBIZ2F2E_W36,"{1.0: 'Men would do a better job', 2.0: 'Women would do a better job', 3.0: 'No difference', 99.0: 'Refused'}","In general, do you think men or women would do a better job running a major hospital types of companies?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
43,99,99,99,99,BETTERBIZ2F2F_W36,"{1.0: 'Men would do a better job', 2.0: 'Women would do a better job', 3.0: 'No difference', 99.0: 'Refused'}","In general, do you think men or women would do a better job running a professional sports team types of companies?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
44,100,100,100,100,TRAITPOLWF1A_W36,"{1.0: ""Mostly helps a woman's chances"", 2.0: ""Mostly hurts a woman's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being decisive impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
45,102,102,102,102,TRAITPOLWF1C_W36,"{1.0: ""Mostly helps a woman's chances"", 2.0: ""Mostly hurts a woman's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being ambitious impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
46,103,103,103,103,TRAITPOLWF1D_W36,"{1.0: ""Mostly helps a woman's chances"", 2.0: ""Mostly hurts a woman's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being approachable impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
47,104,104,104,104,TRAITPOLWF1E_W36,"{1.0: ""Mostly helps a woman's chances"", 2.0: ""Mostly hurts a woman's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being assertive impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
48,105,105,105,105,TRAITPOLWF1F_W36,"{1.0: ""Mostly helps a woman's chances"", 2.0: ""Mostly hurts a woman's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think showing emotions impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
49,106,106,106,106,TRAITPOLWF1G_W36,"{1.0: ""Mostly helps a woman's chances"", 2.0: ""Mostly hurts a woman's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being physically attractive impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
50,108,108,108,108,TRAITPOLMF1B_W36,"{1.0: ""Mostly helps a man's chances"", 2.0: ""Mostly hurts a man's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being compassionate impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
51,109,109,109,109,TRAITPOLMF1C_W36,"{1.0: ""Mostly helps a man's chances"", 2.0: ""Mostly hurts a man's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being ambitious impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
52,110,110,110,110,TRAITPOLMF1D_W36,"{1.0: ""Mostly helps a man's chances"", 2.0: ""Mostly hurts a man's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being approachable impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
53,111,111,111,111,TRAITPOLMF1E_W36,"{1.0: ""Mostly helps a man's chances"", 2.0: ""Mostly hurts a man's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being assertive impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
54,112,112,112,112,TRAITPOLMF1F_W36,"{1.0: ""Mostly helps a man's chances"", 2.0: ""Mostly hurts a man's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think showing emotions impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
55,113,113,113,113,TRAITPOLMF1G_W36,"{1.0: ""Mostly helps a man's chances"", 2.0: ""Mostly hurts a man's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being physically attractive impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
56,114,114,114,114,POLCHF1_W36,"{1.0: 'Having children before she enters politics', 2.0: 'Waiting until she is well-established in her political career to have children', 3.0: 'Not having children at all', 99.0: 'Refused'}","In general, what do you think is better for a woman who wants to reach high political office?","['Having children before she enters politics', 'Waiting until she is well-established in her political career to have children', 'Not having children at all', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
57,117,117,117,117,TRAITBIZWF2C_W36,"{1.0: ""Mostly helps a woman's chances"", 2.0: ""Mostly hurts a woman's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being ambitious impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
58,118,118,118,118,TRAITBIZWF2D_W36,"{1.0: ""Mostly helps a woman's chances"", 2.0: ""Mostly hurts a woman's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being approachable impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
59,119,119,119,119,TRAITBIZWF2E_W36,"{1.0: ""Mostly helps a woman's chances"", 2.0: ""Mostly hurts a woman's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being assertive impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
60,121,121,121,121,TRAITBIZWF2G_W36,"{1.0: ""Mostly helps a woman's chances"", 2.0: ""Mostly hurts a woman's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being physically attractive impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
61,124,124,124,124,TRAITBIZMF2C_W36,"{1.0: ""Mostly helps a man's chances"", 2.0: ""Mostly hurts a man's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being ambitious impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
62,125,125,125,125,TRAITBIZMF2D_W36,"{1.0: ""Mostly helps a man's chances"", 2.0: ""Mostly hurts a man's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being approachable impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
63,126,126,126,126,TRAITBIZMF2E_W36,"{1.0: ""Mostly helps a man's chances"", 2.0: ""Mostly hurts a man's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being assertive impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
64,128,128,128,128,TRAITBIZMF2G_W36,"{1.0: ""Mostly helps a man's chances"", 2.0: ""Mostly hurts a man's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being physically attractive impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
65,130,130,130,130,WMNPRZ1_W36,"{1.0: 'Very good', 2.0: 'Somewhat good', 3.0: 'Somewhat bad', 4.0: 'Very bad', 99.0: 'Refused'}",Do you think it would be a good thing or a bad thing for the country if a woman was elected president?,"['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W36
66,131,131,131,131,MOREWMN1F2_W36,"{1.0: 'A good thing', 2.0: 'A bad thing', 3.0: 'Neither a good thing nor a bad thing', 99.0: 'Refused'}","As you may know, more women are running for U.S. Congress this year than in the past. Do you think this is","['A good thing', 'A bad thing', 'Neither a good thing nor a bad thing', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
67,136,136,136,136,E5_W36,"{1.0: 'Full-time', 2.0: 'Part-time', 3.0: 'Not employed', 99.0: 'Refused'}","This question is about your household is your spouse now employed full-time, part-time or not employed?","['Full-time', 'Part-time', 'Not employed', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
0,13,13,13,13,HAPPEN2b_W41,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably not happen', 4.0: 'Will definitely not happen', 99.0: 'Refused'}",How likely do you think it is that the following will happen in the next 30 years? The world will face a major energy crisis,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
1,17,17,17,17,HAPPEN2f_W41,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably not happen', 4.0: 'Will definitely not happen', 99.0: 'Refused'}",How likely do you think it is that the following will happen in the next 30 years? A Hispanic person will be elected U.S. president,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
2,25,25,25,25,FTRWORRYc_W41,"{1.0: 'Very worried', 2.0: 'Fairly worried', 3.0: 'Not too worried', 4.0: 'Not at all worried', 99.0: 'Refused'}","Still thinking about the future of our country, how worried are you, if at all, about the way the government in Washington works?","['Very worried', 'Fairly worried', 'Not too worried', 'Not at all worried', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
3,27,27,27,27,FTRWORRYe_W41,"{1.0: 'Very worried', 2.0: 'Fairly worried', 3.0: 'Not too worried', 4.0: 'Not at all worried', 99.0: 'Refused'}","Still thinking about the future of our country, how worried are you, if at all, about the moral values of Americans?","['Very worried', 'Fairly worried', 'Not too worried', 'Not at all worried', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
4,28,28,28,28,FTRWORRYf_W41,"{1.0: 'Very worried', 2.0: 'Fairly worried', 3.0: 'Not too worried', 4.0: 'Not at all worried', 99.0: 'Refused'}","Still thinking about the future of our country, how worried are you, if at all, about climate change?","['Very worried', 'Fairly worried', 'Not too worried', 'Not at all worried', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
5,30,30,30,30,ELDFINANCEF1_W41,"{1.0: 'Family members', 2.0: 'Government', 3.0: 'Older Americans themselves', 99.0: 'Refused'}",Who do you think will be mostly responsible for paying for the long-term care older Americans may need?,"['Family members', 'Government', 'Older Americans themselves', 'Refused']","[1, 1, 1]",Pew_American_Trends_Panel_W41
6,31,31,31,31,ELDFINANCEF2_W41,"{1.0: 'Family members', 2.0: 'Government', 3.0: 'Older Americans themselves', 99.0: 'Refused'}",Who do you think should be mostly responsible for paying for the long-term care older Americans may need?,"['Family members', 'Government', 'Older Americans themselves', 'Refused']","[1, 1, 1]",Pew_American_Trends_Panel_W41
7,33,33,33,33,GOVPRIOb_W41,"{1.0: 'A top priority', 2.0: 'An important, but not a top priority', 3.0: 'A lower priority', 4.0: 'Should not be done', 99.0: 'Refused'}","If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to increasing spending for education?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
8,34,34,34,34,GOVPRIOc_W41,"{1.0: 'A top priority', 2.0: 'An important, but not a top priority', 3.0: 'A lower priority', 4.0: 'Should not be done', 99.0: 'Refused'}","If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to providing high-quality, affordable health care to all Americans?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
9,36,36,36,36,GOVPRIOe_W41,"{1.0: 'A top priority', 2.0: 'An important, but not a top priority', 3.0: 'A lower priority', 4.0: 'Should not be done', 99.0: 'Refused'}","If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing the gap between the rich and the poor?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
10,37,37,37,37,GOVPRIOfF1_W41,"{1.0: 'A top priority', 2.0: 'An important, but not a top priority', 3.0: 'A lower priority', 4.0: 'Should not be done', 99.0: 'Refused'}","If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing military spending?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
11,38,38,38,38,GOVPRIOgF1_W41,"{1.0: 'A top priority', 2.0: 'An important, but not a top priority', 3.0: 'A lower priority', 4.0: 'Should not be done', 99.0: 'Refused'}","If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing the number of undocumented immigrants coming into the U.S.?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
12,39,39,39,39,GOVPRIOhF1_W41,"{1.0: 'A top priority', 2.0: 'An important, but not a top priority', 3.0: 'A lower priority', 4.0: 'Should not be done', 99.0: 'Refused'}","If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing spending on Social Security, Medicare and Medicaid?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
13,40,40,40,40,GOVPRIOiF1_W41,"{1.0: 'A top priority', 2.0: 'An important, but not a top priority', 3.0: 'A lower priority', 4.0: 'Should not be done', 99.0: 'Refused'}","If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to increasing spending for roads, bridges and other infrastructure?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
14,41,41,41,41,GOVPRIOjF1_W41,"{1.0: 'A top priority', 2.0: 'An important, but not a top priority', 3.0: 'A lower priority', 4.0: 'Should not be done', 99.0: 'Refused'}","If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to avoiding tax increases?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
15,42,42,42,42,GOVPRIOkF2_W41,"{1.0: 'A top priority', 2.0: 'An important, but not a top priority', 3.0: 'A lower priority', 4.0: 'Should not be done', 99.0: 'Refused'}","If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to increasing military spending?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
16,43,43,43,43,GOVPRIOlF2_W41,"{1.0: 'A top priority', 2.0: 'An important, but not a top priority', 3.0: 'A lower priority', 4.0: 'Should not be done', 99.0: 'Refused'}","If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to who come here legally? Allowing more immigrants into the U.S.","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
